epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.9515,2.44794,9.08986,0.98587,0.35363,0.3278,0.28532,0.11085,2.33401,3.86023,0.97275,0.00047401,0.00047401,0.00047401
2,82.5358,2.2744,3.7666,0.95932,0.4052,0.45176,0.35546,0.12424,2.35873,1.64876,0.99029,0.000949869,0.000949869,0.000949869
3,112.732,2.26362,1.96035,0.96295,0.47513,0.46506,0.40586,0.14945,2.27187,1.52184,0.9655,0.00142383,0.00142383,0.00142383
4,142.11,2.23677,1.54024,0.96047,0.41103,0.53354,0.39052,0.14597,2.27187,1.71331,0.97517,0.0014226,0.0014226,0.0014226
5,171.824,2.18061,1.36364,0.94483,0.55765,0.53071,0.48122,0.18355,2.28584,1.35293,0.98059,0.00141763,0.00141763,0.00141763
6,201.526,2.14876,1.28826,0.92718,0.51224,0.48985,0.46329,0.18442,2.20721,1.35639,0.95359,0.00141127,0.00141127,0.00141127
7,230.652,2.11795,1.23015,0.92545,0.51628,0.42229,0.4398,0.1722,2.2189,1.55379,0.96307,0.00140351,0.00140351,0.00140351
8,260.057,2.06774,1.22398,0.91553,0.5668,0.44239,0.45689,0.17832,2.19447,1.46533,0.95682,0.00139438,0.00139438,0.00139438
9,289.541,2.06044,1.17809,0.91344,0.597,0.50911,0.51713,0.22272,2.14223,1.35276,0.95297,0.0013839,0.0013839,0.0013839
10,318.937,2.03746,1.15765,0.91811,0.56651,0.52655,0.498,0.19479,2.15529,1.44525,0.95034,0.00137208,0.00137208,0.00137208
11,348.395,2.03762,1.1531,0.91152,0.53087,0.43299,0.45423,0.18514,2.1719,1.54629,0.95495,0.00135895,0.00135895,0.00135895
12,378.137,1.9842,1.11286,0.9115,0.57371,0.48439,0.51463,0.19862,2.17351,1.3159,0.95681,0.00134454,0.00134454,0.00134454
13,407.588,2.03339,1.11919,0.9129,0.62075,0.54683,0.53504,0.22124,2.14224,1.27873,0.95786,0.00132887,0.00132887,0.00132887
14,437.97,2.02409,1.09992,0.91436,0.61529,0.4893,0.50723,0.19355,2.21408,1.25847,0.9613,0.00131198,0.00131198,0.00131198
15,467.701,1.95732,1.04184,0.91345,0.63514,0.58787,0.59196,0.23618,2.13006,1.24196,0.96306,0.00129391,0.00129391,0.00129391
16,497.299,1.97373,1.05752,0.908,0.61921,0.56522,0.56238,0.21602,2.14288,1.24714,0.96146,0.00127468,0.00127468,0.00127468
17,527.733,1.9546,1.0257,0.91385,0.50209,0.5982,0.54858,0.21582,2.06871,1.26731,0.94278,0.00125433,0.00125433,0.00125433
18,558.02,1.9342,1.0223,0.9039,0.59874,0.51826,0.55668,0.21998,2.10183,1.27758,0.95661,0.00123292,0.00123292,0.00123292
19,588.009,1.95209,1.03479,0.90092,0.65663,0.53455,0.59088,0.23656,2.11774,1.19794,0.94915,0.00121047,0.00121047,0.00121047
