epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6716,2.48482,9.48377,1.00862,0.68115,0.30863,0.26123,0.08537,2.38135,3.81519,1.02286,0.000473891,0.000473891,0.000473891
2,70.263,2.2785,3.8988,0.96325,0.64878,0.27883,0.25682,0.09226,2.33722,2.01013,0.99337,0.00094975,0.00094975,0.00094975
3,94.7845,2.33985,2.06667,0.97644,0.60732,0.28455,0.24567,0.08723,2.42422,3.44711,1.02018,0.00142371,0.00142371,0.00142371
4,118.714,2.25928,1.57451,0.96514,0.73488,0.34753,0.34044,0.11538,2.32253,1.46981,0.98446,0.0014226,0.0014226,0.0014226
5,142.492,2.19775,1.39331,0.95012,0.72055,0.33041,0.32978,0.12393,2.25512,1.54588,0.96904,0.00141763,0.00141763,0.00141763
6,166.422,2.16224,1.31498,0.93369,0.72879,0.34502,0.35336,0.13007,2.24261,1.53788,0.96919,0.00141127,0.00141127,0.00141127
7,190.194,2.13583,1.25178,0.94263,0.46072,0.42253,0.38284,0.14636,2.20078,1.59336,0.97558,0.00140351,0.00140351,0.00140351
8,214.064,2.1286,1.23084,0.93126,0.62137,0.39285,0.43175,0.16762,2.17916,1.37969,0.96812,0.00139438,0.00139438,0.00139438
9,237.937,2.08606,1.20999,0.92483,0.75569,0.36022,0.43325,0.17428,2.17075,1.33646,0.9711,0.0013839,0.0013839,0.0013839
10,261.735,2.06925,1.18258,0.93363,0.60165,0.36794,0.41952,0.15555,2.18259,1.4697,0.96104,0.00137208,0.00137208,0.00137208
11,285.488,2.0774,1.19592,0.93367,0.42322,0.43363,0.41559,0.16545,2.13933,1.34838,0.96235,0.00135895,0.00135895,0.00135895
12,309.333,2.05844,1.14246,0.92219,0.49961,0.43833,0.43461,0.17277,2.14588,1.31775,0.95126,0.00134454,0.00134454,0.00134454
13,333.072,2.05124,1.12472,0.91584,0.52608,0.56504,0.5214,0.21132,2.13787,1.32048,0.95812,0.00132887,0.00132887,0.00132887
14,356.854,2.01447,1.10008,0.92178,0.58905,0.486,0.49079,0.20025,2.09459,1.26382,0.96758,0.00131198,0.00131198,0.00131198
15,380.605,2.0241,1.0898,0.91678,0.58194,0.44415,0.4503,0.17824,2.23569,1.37412,0.9924,0.00129391,0.00129391,0.00129391
16,405.294,2.01908,1.08343,0.91151,0.55136,0.45967,0.45466,0.18818,2.13728,1.30171,0.96318,0.00127468,0.00127468,0.00127468
17,430.99,1.99574,1.08368,0.91418,0.71356,0.42585,0.50746,0.19776,2.12315,1.28937,0.96565,0.00125433,0.00125433,0.00125433
18,454.899,1.98303,1.09964,0.9113,0.63779,0.41399,0.47255,0.19057,2.08472,1.28658,0.95163,0.00123292,0.00123292,0.00123292
19,478.556,1.96329,1.05384,0.91337,0.57453,0.50431,0.5198,0.2113,2.08181,1.26665,0.94627,0.00121047,0.00121047,0.00121047
20,502.083,1.99278,1.04929,0.89874,0.6348,0.55448,0.55252,0.23347,2.06984,1.24203,0.9495,0.00118704,0.00118704,0.00118704
21,528.701,1.96365,1.0293,0.92243,0.59465,0.45921,0.48161,0.19258,2.10556,1.30155,0.96704,0.00116267,0.00116267,0.00116267
